ID,Data da Compra,Nome Cliente,Idade,Gênero,Cidade Cliente,Estado Cliente,Carro Vendido,Marca,Ano do Carro,Valor do Carro,Cor,Automático,Portas,Empréstimo,Tipo Cliente,Nome Loja
1,2024-11-10,Isaac Thomas,43,Masculino,Cachoeiro de Itapemirim,ES,Creta,Hyundai,2022,128063.44,Cinza,Não,2,Não,PJ,AutoCenter
2,2020-09-23,James Edwards,38,Masculino,Campinas,SP,Tracker,Chevrolet,2016,128615.06,Amarelo,Não,4,Não,PF,Viva Carros
3,2021-04-25,Rachel Giles,26,Feminino,Vila Velha,ES,Civic,Honda,2016,161287.09,Amarelo,Sim,2,Sim,PJ,Super Carros
4,2022-12-27,Christopher Jones,66,Feminino,Passo Fundo,RS,Cobalt,Chevrolet,2019,249000.11,Cinza,Não,2,Não,PF,Viva Carros
5,2024-09-09,Jennifer Long,30,Feminino,Santos,SP,HR-V,Honda,2020,127476.32,Bege,Sim,2,Não,PJ,Super Carros
6,2023-09-02,Mary Robinson,32,Masculino,Salvador,BA,Corolla,Toyota,2022,183211.85,Azul,Sim,2,Não,PJ,AutoCenter
7,2022-07-25,Johnny Burke,62,Feminino,Caxias do Sul,RS,Fit,Honda,2020,77486.01,Verde,Sim,4,Não,PF,Top Car Veículos
8,2023-05-24,Cynthia Parker,58,Masculino,Betim,MG,T-Cross,Volkswagen,2021,262545.46,Amarelo,Sim,2,Sim,PF,Brasil Carros
9,2024-11-16,Cody Mayer,39,Feminino,Curitiba,PR,Civic,Honda,2016,142388.22,Cinza,Não,4,Não,PF,Brasil Carros
10,2020-02-10,Stephanie Alexander,27,Feminino,Duque de Caxias,RJ,Gol,Volkswagen,2020,49404.67,Bege,Sim,2,Não,PJ,AutoCenter
11,2024-05-19,Marcus Pierce,56,Masculino,Jaboatão dos Guararapes,PE,HB20,Hyundai,2020,80372.49,Amarelo,Sim,4,Não,PJ,Super Carros
12,2019-09-30,Brooke Gutierrez,18,Masculino,Itabuna,BA,Hilux,Toyota,2019,109767.27,Branco,Não,4,Não,PF,Top Car Veículos
13,2024-04-22,Jessica Castillo,69,Masculino,Londrina,PR,Ka,Ford,2023,72369.61,Verde,Não,4,Sim,PF,Brasil Carros
14,2021-12-04,Benjamin Byrd,42,Masculino,Caruaru,PE,Onix,Chevrolet,2021,48678.01,Amarelo,Sim,4,Não,PJ,Top Car Veículos
15,2024-07-12,Brandon Wong,67,Masculino,Criciúma,SC,HB20,Hyundai,2023,49516.77,Vermelho,Não,4,Não,PF,Super Carros
16,2019-06-29,Steven Bright,33,Feminino,Itabuna,BA,Focus,Ford,2016,93734.25,Azul,Sim,4,Sim,PF,Carros & Cia
17,2020-11-14,Dawn Williams,38,Masculino,Caxias do Sul,RS,Hilux,Toyota,2015,228335.34,Azul,Não,2,Não,PJ,Carro Ideal
18,2024-12-09,Courtney Hopkins,44,Masculino,Maringá,PR,Corolla,Toyota,2018,209348.33,Verde,Sim,4,Sim,PJ,Meu Carro Novo
19,2022-06-05,Christian Robinson,23,Masculino,Goiânia,GO,Onix,Chevrolet,2018,66628.13,Branco,Não,2,Sim,PF,Brasil Carros
20,2024-11-13,Cheryl Casey,29,Feminino,Recife,PE,Tracker,Chevrolet,2018,287402.57,Bege,Não,4,Não,PF,AutoCenter
21,2023-07-31,Richard Foley,32,Masculino,Duque de Caxias,RJ,HR-V,Honda,2020,137239.09,Prata,Sim,4,Sim,PF,Viva Carros
